pcr_tube_label,mix_group,dil_vol
1,1C,1.31
2,1C,1.55
3,1C,1.86
4,1C,1.98
5,1C,1.3
6,1C,1.92
7,1B,1.95
8,1B,1.88
,,
,,
11,1A,3.76
12,1C,1.89
,,
,,
15,1A,6.12
16,1B,1.6
,,
18,1B,1.75
19,1B,1.63
20,1B,1.34
21,1C,1.47
22,1C,1.75
23,1A,3.73
24,1B,4.46
25,1B,1.63
26,1B,3.91
27,1B,3.11
28,1B,4.07
29,1B,2.94
30,1B,4.76
31,1B,4.35
32,1B,3.16
33,1B,3.52
34,1B,3.12
35,1B,3.38
36,1B,4.95
,,
38,1B,2.03
,,
40,1C,1.69
,,
42,1A,5.94
43,1B,4
44,1B,1.6
45,1B,2.29
46,1B,1.81